categorical_1,categorical_2,categorical_3,categorical_4,categorical_5,categorical_6,categorical_7,categorical_8,categorical_9,categorical_10,categorical_11,categorical_12,risk_level,categorical_13,categorical_14,categorical_15,categorical_16,categorical_17,ln(1 + amount),categorical_18,categorical_19,categorical_20,categorical_21,categorical_22,categorical_23,categorical_24,categorical_25,categorical_26,month,categorical_27,fraud_label
0,351,7,5,2,0,6,71,0,1,5,0,1.0,3,0,0,6,1,6.72,3,0,31,32,1,4,49,33,30,9,117,0
0,281,6,0,0,1,3,7,0,0,0,0,1.0,3,4,0,3,3,2.758,0,1,9,14,0,2,23,29,24,7,79,0
0,281,6,0,0,1,5,127,0,0,0,1,1.0,3,4,0,2,3,4.13,0,1,9,25,0,11,18,45,24,4,143,0
0,279,2,0,0,1,3,7,0,0,0,1,1.0,3,4,0,3,3,3.115,0,1,10,14,0,18,52,2,12,2,35,0
0,206,6,0,0,1,8,77,0,0,0,0,1.0,3,4,0,2,3,1.276,0,1,14,21,0,7,40,11,23,8,117,0
0,330,6,0,0,1,3,51,0,0,0,0,1.0,3,4,1,2,3,2.123,0,1,9,10,0,2,5,42,26,11,117,0
3,236,6,0,0,1,0,139,0,0,0,1,1.0,3,4,0,2,3,2.496,0,1,9,10,0,20,51,52,16,4,117,0
0,240,2,0,0,1,3,123,0,0,0,0,1.0,3,4,0,2,3,3.037,3,1,16,21,0,14,9,16,12,11,79,0
0,264,6,0,0,1,3,139,0,0,0,0,1.0,3,4,0,2,3,4.28,3,1,9,21,1,3,30,2,8,6,117,0
0,240,7,2,0,1,1,51,0,1,0,0,100.0,3,4,0,1,1,3.967,0,0,31,32,2,12,49,16,19,6,117,0
0,393,7,0,0,1,3,138,0,0,0,0,1.0,3,4,0,3,3,2.773,3,1,14,25,0,8,11,26,24,4,79,0
3,281,6,0,0,1,4,139,0,0,0,1,100.0,3,4,0,8,3,4.277,0,0,9,32,0,19,51,17,21,3,79,0
0,360,7,5,2,0,6,139,0,1,5,0,100.0,3,0,0,6,1,4.3,0,0,31,32,1,14,31,33,4,11,143,0
0,240,6,0,0,1,3,17,0,0,0,0,65.0,3,4,0,2,3,2.986,0,1,9,18,0,11,55,33,28,7,79,0
0,281,2,0,0,1,3,7,0,0,0,1,1.0,3,4,0,8,3,2.45,0,1,9,32,0,18,40,4,4,8,34,0
0,198,7,1,0,0,1,139,0,1,0,0,1.0,2,4,0,1,1,4.484,0,0,31,32,0,12,21,29,10,6,143,0
0,240,6,0,0,1,3,17,0,0,0,0,64.0,3,4,0,2,3,2.291,0,1,23,18,0,12,16,6,28,9,79,0
0,240,2,0,0,1,8,139,0,0,0,1,1.0,2,4,0,9,3,2.137,0,1,31,32,0,11,33,42,11,10,94,0
3,45,9,0,0,2,4,47,0,0,0,0,1.0,3,4,1,8,3,4.652,3,0,9,32,0,6,24,19,27,4,35,0
0,279,6,0,0,1,8,98,0,0,0,1,1.0,3,4,0,2,3,4.52,0,1,9,25,0,13,37,47,6,8,79,0
0,282,7,4,2,0,9,138,0,1,5,0,100.0,3,4,0,6,1,1.736,0,1,31,32,1,11,13,57,24,4,79,0
0,309,7,1,0,0,6,139,0,1,0,0,100.0,2,4,0,1,1,4.695,0,0,31,32,0,12,54,44,1,8,117,0
0,198,7,5,2,0,6,139,0,1,5,0,1.0,3,0,0,6,1,4.06,0,0,31,32,1,17,30,23,14,9,143,0
0,281,6,0,0,1,3,39,0,0,0,0,1.0,3,4,0,2,3,3.088,3,1,9,14,0,14,51,43,17,1,35,0
3,184,7,5,2,2,0,93,0,1,5,0,1.0,3,0,0,6,1,2.275,0,0,31,32,1,6,59,50,17,2,35,0
0,240,6,0,0,1,5,106,0,0,0,0,1.0,3,4,0,3,3,2.688,0,1,16,21,0,23,7,52,19,6,94,0
0,113,6,0,0,0,0,139,0,0,0,0,1.0,3,4,0,8,3,4.508,0,0,31,32,0,6,35,21,22,5,79,0
